2019-06-13 23:45,mt-horeb,Blackberry Cobbler
2019-06-13 23:45,cross-plains,Chocolate Pretzel Crunch
2019-06-13 23:45,middleton,Peanut Butter Cookie Dough
2019-06-13 23:45,madison-wi-mineral-point-rd,Red Raspberry
2019-06-13 23:45,verona,Caramel Cashew
2019-06-13 23:45,madison-todd-drive,Chocolate Covered Strawberry
2019-06-13 23:45,waunakee,Really Reese's
2019-06-13 23:45,madison-northport,Hershey Almond Fudge
2019-06-13 23:45,sun-prairie,Butter Pecan
2019-06-13 23:45,madison-east-towne,Kit Kat Swirl
2019-06-13 23:45,madison-cottage-grove,Heath Chocolate Almond
2019-06-13 23:45,mcfarland,Butter Brickle
2019-06-13 23:45,stoughton,Double Marshmallow Oreo
2019-06-13 23:45,cottage-grove-wi-landmark-dr,Snickers Swirl
2019-06-14 23:45,mt-horeb,Chocolate Caramel Twist
2019-06-14 23:45,cross-plains,Cookie Dough Craving
2019-06-14 23:45,middleton,Brownie Thunder
2019-06-14 23:45,madison-wi-mineral-point-rd,Really Reese's
2019-06-14 23:45,verona,Snickers Swirl
2019-06-14 23:45,madison-todd-drive,Butter Pecan
2019-06-14 23:45,waunakee,Turtle
2019-06-14 23:45,madison-northport,Twix Mix
2019-06-14 23:45,sun-prairie,Turtle Dove
2019-06-14 23:45,madison-east-towne,Oreo Overload
2019-06-14 23:45,madison-cottage-grove,Brownie Thunder
2019-06-14 23:45,mcfarland,Caramel Fudge Cookie Dough
2019-06-14 23:45,stoughton,Chocolate Oreo Volcano
2019-06-14 23:45,cottage-grove-wi-landmark-dr,Caramel Pecan
2019-06-15 23:45,mt-horeb,Chocolate Oreo Volcano
2019-06-15 23:45,cross-plains,Chocolate Oreo Volcano
2019-06-15 23:45,middleton,Maple Pecan
2019-06-15 23:45,madison-wi-mineral-point-rd,Cappuccino Almond Fudge
2019-06-15 23:45,verona,Blackberry Cobbler
2019-06-15 23:45,madison-todd-drive,Turtle Dove
2019-06-15 23:45,waunakee,Cookie Dough Craving
2019-06-15 23:45,madison-northport,Brownie Thunder
2019-06-15 23:45,sun-prairie,Crazy for Cookie Dough
2019-06-15 23:45,madison-east-towne,Caramel Fudge Cookie Dough
2019-06-15 23:45,madison-cottage-grove,Dark Chocolate Decadence
2019-06-15 23:45,mcfarland,Red Raspberry
2019-06-15 23:45,stoughton,Blackberry Cobbler
2019-06-15 23:45,cottage-grove-wi-landmark-dr,Chocolate Oreo Volcano
2019-06-16 23:45,mt-horeb,Peanut Butter Cookie Dough
2019-06-16 23:45,cross-plains,Chocolate Covered Strawberry
2019-06-16 23:45,middleton,Bonfire S'mores
2019-06-16 23:45,madison-wi-mineral-point-rd,Bonfire S'mores
2019-06-16 23:45,verona,Chocolate Heath Crunch
2019-06-16 23:45,madison-todd-drive,Peanut Butter Cup
2019-06-16 23:45,waunakee,Caramel Turtle
2019-06-16 23:45,madison-northport,Turtle Dove
2019-06-16 23:45,sun-prairie,Cappuccino Cookie Crumble
2019-06-16 23:45,madison-east-towne,Turtle Dove
2019-06-16 23:45,madison-cottage-grove,Peanut Butter Cup
2019-06-16 23:45,mcfarland,Creamy Lemon Crumble
2019-06-16 23:45,stoughton,Caramel Chocolate Pecan
2019-06-16 23:45,cottage-grove-wi-landmark-dr,Raspberry Cheesecake
2019-06-17 23:45,mt-horeb,Bonfire S'mores
2019-06-17 23:45,cross-plains,Cappuccino Almond Fudge
2019-06-17 23:45,middleton,Turtle
2019-06-17 23:45,madison-wi-mineral-point-rd,Twix Mix
2019-06-17 23:45,verona,Dark Chocolate Decadence
2019-06-17 23:45,madison-todd-drive,Oreo Cheesecake
2019-06-17 23:45,waunakee,Chocolate Covered Strawberry
2019-06-17 23:45,madison-northport,Raspberry Cheesecake
2019-06-17 23:45,sun-prairie,Twix Mix
2019-06-17 23:45,madison-east-towne,Peanut Butter Cup
2019-06-17 23:45,madison-cottage-grove,Oreo Cheesecake
2019-06-17 23:45,mcfarland,Chocolate Caramel Twist
2019-06-17 23:45,stoughton,Double Caramel Chocolate Peanut
2019-06-17 23:45,cottage-grove-wi-landmark-dr,Caramel Fudge Cookie Dough
2019-06-18 23:45,mt-horeb,Turtle
2019-06-18 23:45,cross-plains,Snickers Swirl
2019-06-18 23:45,middleton,Creamy Lemon Crumble
2019-06-18 23:45,madison-wi-mineral-point-rd,Caramel Peanut Buttercup
2019-06-18 23:45,verona,Peanut Butter Cookie Dough
2019-06-18 23:45,madison-todd-drive,Blackberry Cobbler
2019-06-18 23:45,waunakee,Kit Kat Swirl
2019-06-18 23:45,madison-northport,Chocolate Oreo Volcano
2019-06-18 23:45,sun-prairie,Mint Explosion
2019-06-18 23:45,madison-east-towne,Creamy Lemon Crumble
2019-06-18 23:45,madison-cottage-grove,Red Raspberry
2019-06-18 23:45,mcfarland,Snickers Swirl
2019-06-18 23:45,stoughton,Kit Kat Swirl
2019-06-18 23:45,cottage-grove-wi-landmark-dr,Dark Chocolate Decadence
2019-06-19 23:45,mt-horeb,Creamy Lemon Crumble
2019-06-19 23:45,cross-plains,Creamy Lemon Crumble
2019-06-19 23:45,middleton,Chocolate Almond Salted Caramel
2019-06-19 23:45,madison-wi-mineral-point-rd,Chocolate Oreo Volcano
2019-06-19 23:45,verona,Butter Pecan
2019-06-19 23:45,madison-todd-drive,Chocolate Pretzel Crunch
2019-06-19 23:45,waunakee,Creamy Lemon Crumble
