"4-8 min","1-4 min",2019-12-16 14:32:44
"5-9 min","1-4 min",2019-12-16 14:35:38
"1-4 min","1-4 min",2019-12-16 14:41:47
"4-8 min","2-6 min",2019-12-16 14:49:02
"1-4 min","1-4 min",2019-12-16 14:53:41
"3-7 min","1-4 min",2019-12-16 14:59:06
"2-6 min","1-4 min",2019-12-16 15:01:20
"3-7 min","2-6 min",2019-12-16 15:07:15
"3-7 min","3-7 min",2019-12-16 15:11:35
"3-7 min","1-4 min",2019-12-16 15:19:24
"4-8 min","1-4 min",2019-12-16 15:29:23
"4-8 min","2-6 min",2019-12-16 15:35:14
"3-7 min","1-4 min",2019-12-16 15:45:02
"4-8 min","2-6 min",2019-12-16 15:53:32
"5-9 min","2-6 min",2019-12-16 15:56:14
"12-16 min","2-6 min",2019-12-16 16:03:12
"5-9 min","2-6 min",2019-12-16 16:08:37
"5-9 min","3-7 min",2019-12-16 16:10:29
"4-8 min","3-7 min",2019-12-16 16:29:35
"5-9 min","3-7 min",2019-12-16 16:32:07
"5-9 min","2-6 min",2019-12-16 16:37:11
"4-8 min","1-4 min",2019-12-16 16:41:22
"3-7 min","3-7 min",2019-12-16 16:47:03
"1-5 min","1-4 min",2019-12-16 16:51:15
"3-7 min","2-6 min",2019-12-16 16:55:12
"2-6 min","2-6 min",2019-12-16 17:08:26
"4-8 min","1-4 min",2019-12-16 17:14:58
"1-4 min","1-4 min",2019-12-16 17:22:22
"1-4 min","2-6 min",2019-12-16 17:26:26
"1-4 min","1-4 min",2019-12-16 17:30:58
"3-7 min","1-4 min",2019-12-16 17:39:29
"1-4 min","1-4 min",2019-12-16 17:48:03
"4-8 min","2-6 min",2019-12-16 17:58:27
"3-7 min","1-4 min",2019-12-16 18:01:56
"2-6 min","2-6 min",2019-12-16 18:09:07
"1-4 min","3-7 min",2019-12-16 18:10:40
"3-7 min","1-4 min",2019-12-16 18:16:07
"4-8 min","1-4 min",2019-12-16 18:20:39
"1-4 min","3-7 min",2019-12-16 18:29:49
"1-4 min","2-6 min",2019-12-16 18:32:07
"1-4 min","1-4 min",2019-12-16 18:35:39
"1-5 min","1-4 min",2019-12-16 19:14:21
"1-4 min","1-4 min",2019-12-16 19:24:39
"3-7 min","1-4 min",2019-12-17 04:30:21
"10-14 min","1-4 min",2019-12-17 04:44:18
"12-16 min","1-4 min",2019-12-17 04:45:35
"11-15 min","2-6 min",2019-12-17 04:55:00
"5-9 min","1-4 min",2019-12-17 04:56:58
"7-11 min","3-7 min",2019-12-17 05:02:07
"4-8 min","3-7 min",2019-12-17 05:09:07
"5-9 min","3-7 min",2019-12-17 05:13:48
"12-16 min","1-4 min",2019-12-17 05:16:08
"11-15 min","1-4 min",2019-12-17 05:22:06
"10-14 min","1-4 min",2019-12-17 05:27:44
"4-8 min","1-4 min",2019-12-17 05:34:14
"10-14 min","2-6 min",2019-12-17 05:39:37
"12-16 min","2-6 min",2019-12-17 05:41:04
"15-19 min","3-7 min",2019-12-17 05:46:04
"14-18 min","4-8 min",2019-12-17 05:54:10
"11-15 min","5-9 min",2019-12-17 05:55:48
"12-16 min","4-8 min",2019-12-17 06:01:45
"15-19 min","4-8 min",2019-12-17 06:06:35
"15-19 min","3-7 min",2019-12-17 06:12:56
"14-18 min","4-8 min",2019-12-17 06:17:46
"12-16 min","3-7 min",2019-12-17 06:23:19
"11-15 min","2-6 min",2019-12-17 06:26:50
"5-9 min","1-4 min",2019-12-17 06:32:32
"1-4 min","1-4 min",2019-12-17 06:35:44
"3-7 min","1-4 min",2019-12-17 06:44:21
"1-4 min","1-4 min",2019-12-17 06:48:23
"3-7 min","1-4 min",2019-12-17 06:57:09
"1-4 min","1-4 min",2019-12-17 07:03:55
"3-7 min","1-4 min",2019-12-17 07:49:51
"1-4 min","1-4 min",2019-12-17 07:50:47
"1-5 min","1-4 min",2019-12-17 07:56:39
